"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Bilirubin.direct, Blood","1968-7","Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn","Bilirubin.direct [Mass/volume] in Serum or Plasma"
"Arsenic, Blood","5583-0","Arsenic:MCnc:Pt:Bld:Qn","Arsenic [Mass/volume] in Blood"
"Cocoa allergy test","6080-6","Theobroma cacao Ab.IgE:ACnc:Pt:Ser:Qn","Cocoa IgE Ab [Units/volume] in Serum"
"Cholesterol, Blood","2093-3","Cholesterol:MCnc:Pt:Ser/Plas:Qn","Cholesterol [Mass/volume] in Serum or Plasma"
"aPTT, Blood","14979-9","Coagulation surface induced:Time:Pt:PPP:Qn:Coag","aPTT in Platelet poor plasma by Coagulation assay"
"Bilirubin, Urine","1977-8","Bilirubin:PrThr:Pt:Urine:Ord","Bilirubin.total [Presence] in Urine"
"Copper/Creatinine, Urine","13829-7","Copper/Creatinine:MRto:Pt:Urine:Qn","Copper/Creatinine [Mass Ratio] in Urine"
"Appearance, Pericardial fluid","14617-5","Appearance:Aper:Pt:Pericard fld:Nom","Appearance of Pericardial fluid"
"Cortisol, Blood","2143-6","Cortisol:MCnc:Pt:Ser/Plas:Qn","Cortisol [Mass/volume] in Serum or Plasma"
"Eggplant allergy test","7296-7","Solanum melongena Ab.IgE:ACnc:Pt:Ser:Qn","Eggplant IgE Ab [Units/volume] in Serum"
"Culture, Body fluid","610-6","Bacteria identified:Prid:Pt:Body fld:Nom:Aerobic culture","Bacteria identified in Body fluid by Aerobe culture"
"Microscopic observation, Urine","11480-1","Microscopic observation:Prid:Pt:Urine:Nom:Acid fast stain","Microscopic observation [Identifier] in Urine by Acid fast stain"
"Bilirubin, Blood","1975-2","Bilirubin:MCnc:Pt:Ser/Plas:Qn","Bilirubin.total [Mass/volume] in Serum or Plasma"
"Culture, Eye","609-8","Bacteria identified:Prid:Pt:Eye:Nom:Aerobic culture","Bacteria identified in Eye by Aerobe culture"
"Urea Nitrogen (BUN), Urine","3095-7","Urea nitrogen:MCnc:Pt:Urine:Qn","Urea nitrogen [Mass/volume] in Urine"
"Codfish allergy test","6082-2","Gadus morhua Ab.IgE:ACnc:Pt:Ser:Qn","Codfish IgE Ab [Units/volume] in Serum"
"Ethanol, Urine","5644-0","Ethanol:PrThr:Pt:Urine:Ord","Ethanol [Presence] in Urine"
"Chromium, Urine","5624-2","Chromium:MRat:24H:Urine:Qn","Chromium [Mass/time] in 24 hour Urine"
"Albumin/Globulin, Urine","9405-2","Albumin/Globulin:MRto:Pt:Urine:Qn","Albumin/Globulin [Mass Ratio] in Urine"
"Cobalt, Urine","5628-3","Cobalt:MCnc:Pt:Urine:Qn","Cobalt [Mass/volume] in Urine"
"Blue mussel allergy test","6048-3","Mytilus edulis Ab.IgE:ACnc:Pt:Ser:Qn","Blue mussel IgE Ab [Units/volume] in Serum"
"Campylobacter sp culture, Blood","6330-5","Campylobacter sp identified:Prid:Pt:Bld:Nom:Organism specific culture","Campylobacter sp identified in Blood by Organism specific culture"
"Ova and Parasites test, Specimen","673-4","Ova & parasites identified:Prid:Pt:XXX:Nom:Microscopy.light","Ova and parasites identified in Specimen by Light microscopy"
"Alpha-2-Macroglobulin, Blood","1835-8","Alpha-2-Macroglobulin:MCnc:Pt:Ser/Plas:Qn","Alpha-2-Macroglobulin [Mass/volume] in Serum or Plasma"
"Color, Urine","5778-6","Color:Type:Pt:Urine:Nom","Color of Urine"
"Microscopic observation, Throat","75222-0","Microscopic observation:Prid:Pt:Thrt:Nom:Alberts stain","Microscopic observation [Identifier] in Throat by Alberts stain"
"Complement C3, Blood","4485-9","Complement C3:MCnc:Pt:Ser/Plas:Qn","Complement C3 [Mass/volume] in Serum or Plasma"
"Acylcarnitine, Blood","43715-2","Acylcarnitine:PrThr:Pt:Bld:Ord","Acylcarnitine [Presence] in Blood"
"Amylase, Urine","25311-2","Amylase:CCnc:24H:Urine:Qn","Amylase [Enzymatic activity/volume] in 24 hour Urine"
"Susceptibility to Ciprofloxacin","20377-8","Ciprofloxacin:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Ciprofloxacin [Susceptibility] by Method for Slow-growing mycobacteria"
"Adenosine deaminase, Peritoneal fluid","49759-4","Adenosine deaminase:CCnc:Pt:Periton fld:Qn","Adenosine deaminase [Enzymatic activity/volume] in Peritoneal fluid"
"Adenosine deaminase, Spinal fluid","35703-8","Adenosine deaminase:CCnc:Pt:CSF:Qn","Adenosine deaminase [Enzymatic activity/volume] in Cerebral spinal fluid"
"Amylase, Urine","1800-2","Amylase:CRat:24H:Urine:Qn","Amylase [Enzymatic activity/time] in 24 hour Urine"
"Streptococcal DNAse B, Blood","5133-4","DNAse B Ab.Streptococcal:ACnc:Pt:Ser:Qn","Streptococcal DNAse B [Units/volume] in Serum"
"Carrot allergy test","6061-6","Daucus carota Ab.IgE:ACnc:Pt:Ser:Qn","Carrot IgE Ab [Units/volume] in Serum"
"Aluminum, Blood","5574-9","Aluminum:MCnc:Pt:Ser/Plas:Qn","Aluminum [Mass/volume] in Serum or Plasma"
"Spermatozoa duplicate tail per 100 Sperm, Semen","10610-4","Spermatozoa.duplicate tail/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Duplicate Tail/100 spermatozoa in Semen"
"Intestinal alkaline phosphatase, Blood","15014-4","Alkaline phosphatase.intestinal/Alkaline phosphatase.total:CFr:Pt:Ser/Plas:Qn","Alkaline phosphatase.intestinal/Alkaline phosphatase.total in Serum or Plasma"
"Bacteria, Urine","87829-8","Bacteria:PrThr:Pt:Urine:Ord","Bacteria [Presence] in Urine"
"Cat dander allergy test","6833-8","Cat dander Ab.IgE:ACnc:Pt:Ser:Qn","Cat dander IgE Ab [Units/volume] in Serum"
"Neutrophils, Blood","26499-4","Neutrophils:NCnc:Pt:Bld:Qn","Neutrophils [#/volume] in Blood"
"17-Ketosteroids, Urine","6766-0","17-Ketosteroids:MRat:24H:Urine:Qn","17-Ketosteroids [Mass/time] in 24 hour Urine"
"Delta aminolevulinate, Urine","2200-4","Delta aminolevulinate:MRat:24H:Urine:Qn","Delta aminolevulinate [Mass/time] in 24 hour Urine"
"Brazil nut allergy test","6050-9","Bertholletia excelsa Ab.IgE:ACnc:Pt:Ser:Qn","Brazil Nut IgE Ab [Units/volume] in Serum"
"Spermatozoa Abnormal per 100 Sperm, Semen","15376-7","Spermatozoa.abnormal/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Abnormal/100 spermatozoa in Semen"
"Urea Nitrogen (BUN), Urine","12967-6","Urea nitrogen:MCnc:24H:Urine:Qn","Urea nitrogen [Mass/volume] in 24 hour Urine"
"CD8 antigen, Tissue","47019-5","CD8 Ag:PrThr:Pt:Tiss:Ord:Immune stain","CD8 Ag [Presence] in Tissue by Immune stain"
"Aspartate Aminotransferase (AST; SGOT), Blood","1920-8","Aspartate aminotransferase:CCnc:Pt:Ser/Plas:Qn","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma"
"Bilirubin, Urine","1978-6","Bilirubin:MCnc:Pt:Urine:Qn","Bilirubin.total [Mass/volume] in Urine"
"Microscopic observation, Urine","653-6","Microscopic observation:Prid:Pt:Urine:Nom:Gram stain","Microscopic observation [Identifier] in Urine by Gram stain"
"Cabbage allergy test","7169-6","Brassica oleracea var capitata Ab.IgE:ACnc:Pt:Ser:Qn","Cabbage IgE Ab [Units/volume] in Serum"
"Neisseria gonorrhoeae culture, Genital specimen","691-6","Neisseria gonorrhoeae:PrThr:Pt:Genital:Ord:Organism specific culture","Neisseria gonorrhoeae [Presence] in Genital specimen by Organism specific culture"
"Goat epithelium allergy test","6127-5","Goat epithelium Ab.IgE:ACnc:Pt:Ser:Qn","Goat epithelium IgE Ab [Units/volume] in Serum"
"Beta-2-Microglobulin, Blood","1952-1","Beta-2-Microglobulin:MCnc:Pt:Ser/Plas:Qn","Beta-2-Microglobulin [Mass/volume] in Serum or Plasma"
"Iron saturation, Blood","2502-3","Iron saturation:MFr:Pt:Ser/Plas:Qn","Iron saturation [Mass Fraction] in Serum or Plasma"
"Glucose 3 hr after glucose, Blood","20437-0","Glucose^3H post dose glucose:MCnc:Pt:Ser/Plas:Qn","Glucose [Mass/volume] in Serum or Plasma --3 hours post dose glucose"
"Chloride, Blood","2075-0","Chloride:SCnc:Pt:Ser/Plas:Qn","Chloride [Moles/volume] in Serum or Plasma"
"Glucose, Urine","2351-5","Glucose:MRat:24H:Urine:Qn","Glucose [Mass/time] in 24 hour Urine"
"Apolipoprotein A-I/Apolipoprotein B, Blood","13462-7","Apolipoprotein A-I/Apolipoprotein B:MRto:Pt:Ser/Plas:Qn","Apolipoprotein A-I/Apolipoprotein B [Mass Ratio] in Serum or Plasma"
"Globulin, Blood","10834-0","Globulin:MCnc:Pt:Ser:Qn:Calculated","Globulin [Mass/volume] in Serum by calculation"
"Free T3, Blood","3051-0","Triiodothyronine.free:MCnc:Pt:Ser/Plas:Qn","Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma"
"Antithrombin actual/normal, Blood","27811-9","Antithrombin actual/Normal:RelCCnc:Pt:PPP:Qn:Chromo","Antithrombin actual/normal in Platelet poor plasma by Chromogenic method"
"Free Protein S antigen activity, Blood","27821-8","Protein S.free Ag actual/Normal:RelMCnc:Pt:PPP:Qn:IA","Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay"
"Angiotensin converting enzyme, Blood","2742-5","Angiotensin converting enzyme:CCnc:Pt:Ser/Plas:Qn","Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma"
"Culture, Blood","17928-3","Bacteria identified:Prid:Pt:Bld:Nom:Aerobic culture","Bacteria identified in Blood by Aerobe culture"
"Bermuda grass allergy test","6041-8","Cynodon dactylon Ab.IgE:ACnc:Pt:Ser:Qn","Bermuda grass IgE Ab [Units/volume] in Serum"
"Chromium, Blood","5619-2","Chromium:MCnc:Pt:Bld:Qn","Chromium [Mass/volume] in Blood"
"Spermatozoa Abnormal head size per 100 Sperm, Semen","66496-1","Spermatozoa.abnormal head size/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Abnormal head size/100 spermatozoa in Semen"
"Basophils per 100 white blood cells, Blood","30180-4","Basophils/100 leukocytes:NFr:Pt:Bld:Qn","Basophils/100 leukocytes in Blood"
