"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"TSH receptor antibody, Blood","57416-0","Thyrotropin receptor Ab:ACnc:Pt:Ser:Qn:IA","Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay"
"Tryptase allergy test","7748-7","Tryptase Ab.IgE:ACnc:Pt:Ser:Qn","Tryptase IgE Ab [Units/volume] in Serum"
"Digoxin, Blood","10535-3","Digoxin:MCnc:Pt:Ser/Plas:Qn","Digoxin [Mass/volume] in Serum or Plasma"
"Procollagen Type I.N-terminal Propeptide, Blood","77370-5","Procollagen type I.N-terminal propeptide:MCnc:Pt:Ser/Plas:Qn:IA","Procollagen type I.N-terminal propeptide [Mass/volume] in Serum or Plasma by Immunoassay"
"Zinc, Urine","5765-3","Zinc:MRat:24H:Urine:Qn","Zinc [Mass/time] in 24 hour Urine"
"Tumor necrosis factor.alpha, Blood","3074-2","Tumor necrosis factor.alpha:MCnc:Pt:Ser/Plas:Qn","Tumor necrosis factor.alpha [Mass/volume] in Serum or Plasma"
"Toxoplasma gondii, Amniotic fluid","27999-2","Toxoplasma gondii DNA:PrThr:Pt:Amnio fld:Ord:Probe.amp.tar","Toxoplasma gondii DNA [Presence] in Amniotic fluid by NAA with probe detection"
"Legionella pneumophila antigen, Urine","6448-5","Legionella pneumophila Ag:PrThr:Pt:Urine:Ord:RIA","Legionella pneumophila Ag [Presence] in Urine by Radioimmunoassay (RIA)"
"Albumin, Synovial fluid","1752-5","Albumin:MCnc:Pt:Synv fld:Qn","Albumin [Mass/volume] in Synovial fluid"
"Specimen volume, Semen","3160-9","Specimen volume:Vol:Pt:Semen:Qn","Volume of Semen"
"White blood cell (WBC) count, Blood","6690-2","Leukocytes:NCnc:Pt:Bld:Qn:Automated count","Leukocytes [#/volume] in Blood by Automated count"
"Toxoplasma gondii, Blood","16279-2","Toxoplasma gondii DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Toxoplasma gondii DNA [Presence] in Blood by NAA with probe detection"
"IgE, Blood","83102-4","IgE:ACnc:Pt:Ser/Plas:Qn:IA","IgE [Units/volume] in Serum or Plasma by Immunoassay"
"Urate, Urine","57332-9","Urate:MCnc:12H:Urine:Qn","Urate [Mass/volume] in 12 hour Urine"
"tTG IgG antibody, Blood","56537-4","Tissue transglutaminase Ab.IgG:ACnc:Pt:Ser:Qn:IA","Tissue transglutaminase IgG Ab [Units/volume] in Serum by Immunoassay"
"Troponin T, Blood","67151-1","Troponin T.cardiac:MCnc:Pt:Ser/Plas:Qn:High sensitivity","Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method"
"IgG, Blood","2465-3","IgG:MCnc:Pt:Ser/Plas:Qn","IgG [Mass/volume] in Serum or Plasma"
"Oxyhemoglobin, Blood","87437-0","Oxyhemoglobin:MCnc:Pt:Plas:Qn","Oxyhemoglobin [Mass/volume] in Plasma"
"Valine, Urine","25553-9","Valine:SRat:24H:Urine:Qn","Valine [Moles/time] in 24 hour Urine"
"Thyroid Stimulating Hormone (TSH; Thyrotropin), Dried blood spot","29575-8","Thyrotropin:ACnc:Pt:Bld.dot:Qn","Thyrotropin [Units/volume] in DBS"
"Iron binding capacity.unsaturated, Blood","2501-5","Iron binding capacity.unsaturated:MCnc:Pt:Ser/Plas:Qn","Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma"
"Varicella zoster virus (VZV; Chickenpox), Body fluid","87961-9","Varicella zoster virus DNA:PrThr:Pt:Body fld:Ord:Probe.amp.tar","Varicella zoster virus DNA [Presence] in Body fluid by NAA with probe detection"
"Valine/Creatinine, Urine","30064-0","Valine/Creatinine:Ratio:Pt:Urine:Qn","Valine/Creatinine [Ratio] in Urine"
"Thrombin time, control Blood","5955-0","Coagulation thrombin induced:Time:Pt:PPP^Control:Qn:Coag","Thrombin time in Control Platelet poor plasma by Coagulation assay"
"Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear antibody, Blood","89501-1","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab:PrThr:Pt:Ser:Ord:Line blot","Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Line blot"
"Mycobacterium tuberculosis, Specimen","13956-8","Mycobacterium tuberculosis DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Specimen by NAA with probe detection"
"Mycobacterium tuberculosis, Blood","16278-4","Mycobacterium tuberculosis DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Blood by NAA with probe detection"
"KRAS gene variant analysis, Blood or tissue specimen","21702-6","KRAS gene targeted mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen","KRAS gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
"Herpes simplex virus 1 (HSV 1), Spinal fluid","16952-4","Herpes simplex virus 1 DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Herpes simplex virus 1 DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Mycobacterium tuberculosis, Stomach fluid","14558-1","Mycobacterium tuberculosis DNA:PrThr:Pt:Gast fld:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Gastric fluid by NAA with probe detection"
"Mycobacterium tuberculosis, Urine","14560-7","Mycobacterium tuberculosis DNA:PrThr:Pt:Urine:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Urine by NAA with probe detection"
"Escherichia coli shiga-like toxin, Stool","21262-1","Escherichia coli shiga-like toxin:PrThr:Pt:Stool:Ord:IA","Escherichia coli shiga-like toxin [Presence] in Stool by Immunoassay"
"West Nile virus IgM antibody, Blood","38166-5","West Nile virus Ab.IgM:ACnc:Pt:Ser:Qn:IA","West Nile virus IgM Ab [Units/volume] in Serum by Immunoassay"
"Transferrin receptor.soluble, Blood","33210-6","Transferrin receptor.soluble:SCnc:Pt:Ser/Plas:Qn","Transferrin receptor.soluble [Moles/volume] in Serum or Plasma"
"Mycobacterium tuberculosis, Spinal fluid","14561-5","Mycobacterium tuberculosis DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"TCRG rearrangements, Blood or tissue specimen","21753-9","TCRG gene rearrangements:Arb:Pt:Bld/Tiss:Ord:Molgen","TCRG gene rearrangements [Presence] in Blood or Tissue by Molecular genetics method"
"Transferrin receptor.soluble, Blood","30248-9","Transferrin receptor.soluble:MCnc:Pt:Ser/Plas:Qn","Transferrin receptor.soluble [Mass/volume] in Serum or Plasma"
"Calcium, Urine","17862-4","Calcium:MCnc:Pt:Urine:Qn","Calcium [Mass/volume] in Urine"
"Mycobacterium tuberculosis, Sputum","14556-5","Mycobacterium tuberculosis DNA:PrThr:Pt:Sputum:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection"
"CYP2C9 gene allele genotype, Blood or tissue specimen","46724-1","CYP2C9 gene allele:Geno:Pt:Bld/Tiss:Nom:Molgen","CYP2C9 gene allele [Genotype] in Blood or Tissue by Molecular genetics method Nominal"
"Chromosome analysis overall interpretation, Blood or tissue specimen","62357-9","Chromosome analysis overall interpretation:Imp:Pt:Bld/Tiss:Ord:Molgen","Chromosome analysis overall interpretation Qualitative"
"Interpretation of Xylose Absorption test result, Urine+Serum/Plasma","49241-3","Xylose absorption:Imp:Pt:Urine+Ser/Plas:Nar","Xylose absorption [Interpretation] in Urine and Serum or Plasma Narrative"
"Heparin induced platelet IgG antibody, Blood","73818-7","Platelet factor 4 heparin complex induced Ab.IgG:OD:Pt:Ser/Plas:Qn:IA","Heparin induced platelet IgG Ab in Serum or Plasma by Immunoassay"
"Mycobacterium tuberculosis, Pleural fluid","14559-9","Mycobacterium tuberculosis DNA:PrThr:Pt:Plr fld:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Pleural fluid by NAA with probe detection"
"vWf ristocetin cofactor act actual/normal, Blood","6014-5","von Willebrand factor.ristocetin cofactor activity actual/Normal:RelTime:Pt:PPP:Qn:Platelet aggr","von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Platelet aggregation"
"Biotin, Blood","1980-2","Biotin:MCnc:Pt:Ser/Plas:Qn","Biotin [Mass/volume] in Serum or Plasma"
"Chymotrypsin, Stool","25375-7","Chymotrypsin:CCnt:Pt:Stool:Qn","Chymotrypsin [Enzymatic activity/mass] in Stool"
"Lactase, Small Intestine Tissue","81315-4","Lactase:CCnt:Pt:Tsmi:Qn","Lactase [Enzymatic activity/mass] in Small intestine Tissue"
"Hepatitis C virus (HCV), Blood","11011-4","Hepatitis C virus RNA:ACnc:Pt:Ser/Plas:Qn:Probe.amp.tar","Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"HTLV I+II antibody, Blood","16982-1","HTLV I+II Ab:PrThr:Pt:Ser:Ord:IB","HTLV I+II Ab [Presence] in Serum by Immunoblot"
"Hepatitis C virus (HCV), Blood","11259-9","Hepatitis C virus RNA:PrThr:Pt:Ser/Plas:Ord:Probe.amp.tar","Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection"
"Fat.neutral, Stool","12598-9","Fat.neutral:PrThr:Pt:Stool:Ord","Fat.neutral [Presence] in Stool"
"Mycoplasma pneumoniae, Specimen","29257-3","Mycoplasma pneumoniae DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Mycoplasma pneumoniae DNA [Presence] in Specimen by NAA with probe detection"
"Thiopurine methyltransferase, Blood","53819-9","Thiopurine methyltransferase:CCnc:Pt:Bld:Qn","Thiopurine methyltransferase [Enzymatic activity/volume] in Blood"
"Intrinsic factor antibody, Blood","30530-0","Intrinsic factor Ab:PrThr:Pt:Ser:Ord","Intrinsic factor Ab [Presence] in Serum"
"Valproate, Blood","14946-8","Valproate:SCnc:Pt:Ser/Plas:Qn","Valproate [Moles/volume] in Serum or Plasma"
"Retinol, Blood","14905-4","Retinol:SCnc:Pt:Ser/Plas:Qn","Retinol [Moles/volume] in Serum or Plasma"
"Phytonadione, Blood","58793-1","Phytonadione:SCnc:Pt:Ser/Plas:Qn","Phytonadione [Moles/volume] in Serum or Plasma"
"Theophylline, Blood","4049-3","Theophylline:MCnc:Pt:Ser/Plas:Qn","Theophylline [Mass/volume] in Serum or Plasma"
"Prealbumin, Blood","14338-8","Prealbumin:MCnc:Pt:Ser/Plas:Qn","Prealbumin [Mass/volume] in Serum or Plasma"
"Retinol, Blood","2923-1","Retinol:MCnc:Pt:Ser/Plas:Qn","Retinol [Mass/volume] in Serum or Plasma"
"Chloride, Sweat","2077-6","Chloride:SCnc:Pt:Sweat:Qn","Chloride [Moles/volume] in Sweat"
"Methylmalonate, Blood","13964-2","Methylmalonate:SCnc:Pt:Ser/Plas:Qn","Methylmalonate [Moles/volume] in Serum or Plasma"
"Trichomonas vaginalis, Specimen","46154-1","Trichomonas vaginalis rRNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Trichomonas vaginalis rRNA [Presence] in Specimen by NAA with probe detection"
"Therapeutic drug monitoring studies (set)","18721-1","Therapeutic drug monitoring studies:Cmplx:-:^Patient:Set","Therapeutic drug monitoring studies (set)"
"RSV antigen, Nasopharynx","72885-7","Respiratory syncytial virus Ag:PrThr:Pt:Nph:Ord:IA.rapid","Respiratory syncytial virus Ag [Presence] in Nasopharynx by Rapid immunoassay"
"Unsp gene variant analysis, Blood or tissue specimen","35474-6","Gene XXX targeted mutation analysis:Find:Pt:Bld/Tiss:Doc:Molgen","Gene XXX targeted mutation analysis in Blood or Tissue by Molecular genetics method"
"Phosphate, Urine","14881-7","Phosphate:SRat:24H:Urine:Qn","Phosphate [Moles/time] in 24 hour Urine"
"Heterophile antibody, Blood","5213-4","Heterophile Ab:PrThr:Pt:Ser:Ord:LA","Heterophile Ab [Presence] in Serum by Latex agglutination"
"Tacrolimus, Blood","11253-2","Tacrolimus:MCnc:Pt:Bld:Qn","Tacrolimus [Mass/volume] in Blood"
"Rheumatoid factor, Blood","11572-5","Rheumatoid factor:ACnc:Pt:Ser/Plas:Qn","Rheumatoid factor [Units/volume] in Serum or Plasma"
"West Nile virus, Specimen","34892-0","West Nile virus RNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","West Nile virus RNA [Presence] in Specimen by NAA with probe detection"
"Metanephrines, Blood","25474-8","Metanephrines:SCnc:Pt:Ser/Plas:Qn","Metanephrines [Moles/volume] in Serum or Plasma"
"Methotrexate, Blood","14836-1","Methotrexate:SCnc:Pt:Ser/Plas:Qn","Methotrexate [Moles/volume] in Serum or Plasma"
"Protein S antigen activity, Blood","27823-4","Protein S Ag actual/Normal:RelMCnc:Pt:PPP:Qn:IA","Protein S Ag actual/normal in Platelet poor plasma by Immunoassay"
"Valproate, Blood","4086-5","Valproate:MCnc:Pt:Ser/Plas:Qn","Valproate [Mass/volume] in Serum or Plasma"
"Sodium, Stool","15207-4","Sodium:SCnc:Pt:Stool:Qn","Sodium [Moles/volume] in Stool"
"Theophylline, Blood","14915-3","Theophylline:SCnc:Pt:Ser/Plas:Qn","Theophylline [Moles/volume] in Serum or Plasma"
"Trypsinogen, Blood","3065-0","Trypsinogen:PrThr:Pt:Ser/Plas:Ord","Trypsinogen [Presence] in Serum or Plasma"
"HER2, Blood","42914-2","HER2:MCnc:Pt:Ser:Qn:IA","HER2 [Mass/volume] in Serum by Immunoassay"
"Estrogen receptor antigen, Breast cancer specimen","85337-4","Estrogen receptor Ag:PrThr:Pt:Breast cancer specimen:Ord:Immune stain","Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain"
"Triglyceride, Blood","14927-8","Triglyceride:SCnc:Pt:Ser/Plas:Qn","Triglyceride [Moles/volume] in Serum or Plasma"
"HIV reverse transcriptase+Protease gene variant analysis","53798-5","HIV reverse transcriptase+Protease gene mutations detected:Prid:Pt:Isolate:Nom","HIV reverse transcriptase+protease gene mutations detected [Identifier]"
"Lipoprotein A, Blood","10835-7","Lipoprotein (little a):MCnc:Pt:Ser/Plas:Qn","Lipoprotein a [Mass/volume] in Serum or Plasma"
"Chromium, Blood","5622-6","Chromium:MCnc:Pt:Ser/Plas:Qn","Chromium [Mass/volume] in Serum or Plasma"
"Toxoplasma gondii, Specimen","29904-0","Toxoplasma gondii DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Toxoplasma gondii DNA [Presence] in Specimen by NAA with probe detection"
"Potassium, Body fluid","2821-7","Potassium:SCnc:Pt:Body fld:Qn","Potassium [Moles/volume] in Body fluid"
"Hemoglobin S, Blood","6864-3","Hemoglobin S:PrThr:Pt:Bld:Ord:Solubility test","Hemoglobin S [Presence] in Blood by Solubility test"
"Heparin unfractionated, Blood","66483-9","Heparin.unfractionated:ACnc:Pt:PPP:Qn","Heparin unfractionated [Units/volume] in Platelet poor plasma"
"Somatotropin, Blood","2963-7","Somatotropin:MCnc:Pt:Ser/Plas:Qn","Somatotropin [Mass/volume] in Serum or Plasma"
"Lipoprotein.beta.subparticle, Blood","54434-6","Lipoprotein.beta.subparticle:SCnc:Pt:Ser/Plas:Qn","Lipoprotein.beta.subparticle [Moles/volume] in Serum or Plasma"
"Metanephrines, Blood","29142-7","Metanephrines:MCnc:Pt:Ser/Plas:Qn","Metanephrines [Mass/volume] in Serum or Plasma"
"Insulin-like growth factor-I, Blood","29775-4","Insulin-like growth factor-I:SCnc:Pt:Ser/Plas:Qn","Insulin-like growth factor-I [Moles/volume] in Serum or Plasma"
"HLA-B, Blood or tissue specimen","13299-3","HLA-B:Type:Pt:Bld/Tiss:Nom","HLA-B [Type]"
"Lipoprotein Associated Phospholipase A2, Blood","86951-1","Lipoprotein associated phospholipase A2:CCnc:Pt:Ser/Plas:Qn","Lipoprotein associated phospholipase A2 [Enzymatic activity/volume] in Serum or Plasma"
"Homocysteine, Blood","13965-9","Homocysteine:SCnc:Pt:Ser/Plas:Qn","Homocysteine [Moles/volume] in Serum or Plasma"
"Insulin-like growth factor-I, Blood","2484-4","Insulin-like growth factor-I:MCnc:Pt:Ser/Plas:Qn","Insulin-like growth factor-I [Mass/volume] in Serum or Plasma"
"Lipoprotein A, Blood","43583-4","Lipoprotein (little a):SCnc:Pt:Ser/Plas:Qn","Lipoprotein a [Moles/volume] in Serum or Plasma"
"Phosphate, Urine","2779-7","Phosphate:MRat:24H:Urine:Qn","Phosphate [Mass/time] in 24 hour Urine"
"MRSA SCCmec, Nose","72887-3","Staphylococcus aureus methicillin resistance SCCmec:PrThr:Pt:Nose:Ord:Probe.amp.tar","Staphylococcus aureus methicillin resistance SCCmec [Presence] in Nose by NAA with probe detection"
"Influenza B (Flu B) antigen, Specimen","5867-7","Influenza virus B Ag:PrThr:Pt:XXX:Ord:IF","Influenza virus B Ag [Presence] in Specimen by Immunofluorescence"
"Fibronectin.fetal, Specimen","48039-2","Fibronectin.fetal:PrThr:Pt:XXX:Ord","Fibronectin.fetal [Presence] in Specimen"
"cycloSPORINE, Blood","3520-4","cycloSPORINE:MCnc:Pt:Bld:Qn","cycloSPORINE [Mass/volume] in Blood"
"Carcinoembryonic antigen, Blood","19167-6","Carcinoembryonic Ag:SCnc:Pt:Ser/Plas:Qn","Carcinoembryonic Ag [Moles/volume] in Serum or Plasma"
"Chlamydia trachomatis, Conjunctiva","21187-0","Chlamydia trachomatis DNA:PrThr:Pt:Cnjt:Ord:Probe.amp.tar","Chlamydia trachomatis DNA [Presence] in Conjunctival specimen by NAA with probe detection"
"Gliadin IgA antibody, Blood","20495-8","Gliadin Ab.IgA:ACnc:Pt:Ser:Qn:IA","Gliadin IgA Ab [Units/volume] in Serum by Immunoassay"
"Giardia lamblia IgM antibody, Blood","21301-7","Giardia lamblia Ab.IgM:Titr:Pt:Ser:SemiQn:IF","Giardia lamblia IgM Ab [Titer] in Serum by Immunofluorescence"
"Herpes simplex virus 1 (HSV 1), Blood","16953-2","Herpes simplex virus 1 DNA:PrThr:Pt:Ser/Plas:Ord:Probe.amp.tar","Herpes simplex virus 1 DNA [Presence] in Serum or Plasma by NAA with probe detection"
"Herpes simplex virus 2 (HSV 2), Blood","16959-9","Herpes simplex virus 2 DNA:PrThr:Pt:Ser/Plas:Ord:Probe.amp.tar","Herpes simplex virus 2 DNA [Presence] in Serum or Plasma by NAA with probe detection"
"Neisseria gonorrhoeae, Urethra","21415-5","Neisseria gonorrhoeae DNA:PrThr:Pt:Urethra:Ord:Probe.amp.tar","Neisseria gonorrhoeae DNA [Presence] in Urethra by NAA with probe detection"
"Giardia lamblia IgA antibody, Blood","21300-9","Giardia lamblia Ab.IgA:Titr:Pt:Ser:SemiQn:IF","Giardia lamblia IgA Ab [Titer] in Serum by Immunofluorescence"
"Fasciola sp IgG antibody, Blood","25407-8","Fasciola sp Ab.IgG:ACnc:Pt:Ser:Qn:IA","Fasciola sp IgG Ab [Units/volume] in Serum by Immunoassay"
"Endomysium IgA antibody, Blood","27038-9","Endomysium Ab.IgA:Titr:Pt:Ser:SemiQn:IF","Endomysium IgA Ab [Titer] in Serum by Immunofluorescence"
"Cytomegalovirus (CMV), Blood","30247-1","Cytomegalovirus DNA:NCnc:Pt:Ser/Plas:Qn:Probe.amp.tar","Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"Ovary antibody, Blood","25725-3","Ovary Ab:Titr:Pt:Ser:SemiQn:IF","Ovary Ab [Titer] in Serum by Immunofluorescence"
"Coagulation Factor VIII Inhibitor, Blood","3204-5","Coagulation factor VIII inhibitor:ACnc:Pt:PPP:Qn:Coag","Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay"
"Borrelia burgdorferi, Blood","32667-8","Borrelia burgdorferi DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Borrelia burgdorferi DNA [Presence] in Blood by NAA with probe detection"
"Adenovirus, Spinal fluid","38375-2","Adenovirus DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Adenovirus DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Neisseria gonorrhoeae, Urine","21416-3","Neisseria gonorrhoeae DNA:PrThr:Pt:Urine:Ord:Probe.amp.tar","Neisseria gonorrhoeae DNA [Presence] in Urine by NAA with probe detection"
"Hepatitis B virus (HBV), Blood","29610-3","Hepatitis B virus DNA:PrThr:Pt:Ser/Plas:Ord:Probe.amp.tar","Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection"
"Human Papilloma virus (HPV), Cervix","44550-2","Human papilloma virus DNA:PrThr:Pt:Cvx:Ord:Probe","Human papilloma virus DNA [Presence] in Cervix by Probe"
"Aspergillus fumigatus IgG antibody, Blood","26954-8","Aspergillus fumigatus Ab.IgG:MCnc:Pt:Ser:Qn","Aspergillus fumigatus IgG Ab [Mass/volume] in Serum"
"Legionella pneumophila, Specimen","21363-7","Legionella pneumophila DNA:PrThr:Pt:XXX:Ord:Probe.amp.tar","Legionella pneumophila DNA [Presence] in Specimen by NAA with probe detection"
"Adenovirus, Blood","49341-1","Adenovirus DNA:NCnc:Pt:Bld:Qn:Probe.amp.tar","Adenovirus DNA [#/volume] (viral load) in Blood by NAA with probe detection"
"Epstein Barr virus (EBV), Blood","5002-1","Epstein Barr virus DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","Epstein Barr virus DNA [Presence] in Blood by NAA with probe detection"
"Nuclear antibody, Blood","40655-3","Nuclear Ab:Titr:Pt:Ser:SemiQn:IA","Nuclear Ab [Titer] in Serum by Immunoassay"
"LysoPC(16:0), Blood","75736-9","Lysophosphatidylcholine(16:0):SCnc:Pt:Plas:Qn","Lysophosphatidylcholine(16:0) [Moles/volume] in Plasma"
"Hepatitis C virus (HCV) IgM antibody, Blood","51824-1","Hepatitis C virus Ab.IgM:ACnc:Pt:Ser:Qn:IA","Hepatitis C virus IgM Ab [Units/volume] in Serum by Immunoassay"
"Mycobacterium tuberculosis, Body fluid","58931-7","Mycobacterium tuberculosis DNA:PrThr:Pt:Body fld:Ord:Probe.amp.tar","Mycobacterium tuberculosis DNA [Presence] in Body fluid by NAA with probe detection"
"Parietal cell antibody, Blood","5271-2","Parietal cell Ab:Titr:Pt:Ser:SemiQn:IF","Parietal cell Ab [Titer] in Serum by Immunofluorescence"
"Adenovirus, Body fluid","66721-2","Adenovirus DNA:NCnc:Pt:Body fld:Qn:Probe.amp.tar","Adenovirus DNA [#/volume] (viral load) in Body fluid by NAA with probe detection"
"Influenza A (Flu A), Bronchoalveolar Lavage Specimen","76077-7","Influenza virus A RNA:PrThr:Pt:BAL:Ord:Probe.amp.tar","Influenza virus A RNA [Presence] in Bronchoalveolar lavage by NAA with probe detection"
"Histoplasma capsulatum antigen, Urine","44524-7","Histoplasma capsulatum Ag:PrThr:Pt:Urine:Ord:IA","Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay"
"Pancreatic islet cell antibody, Blood","45171-6","Pancreatic islet cell Ab:ACnc:Pt:Ser:Qn:IF","Pancreatic islet cell Ab [Units/volume] in Serum by Immunofluorescence"
"Ganglioside GM1 IgG antibody, Blood","43240-1","Ganglioside GM1 Ab.IgG:Titr:Pt:Ser:SemiQn:IA","Ganglioside GM1 IgG Ab [Titer] in Serum by Immunoassay"
"Herpes simplex virus 2 (HSV 2), Body fluid","49989-7","Herpes simplex virus 2 DNA:NCnc:Pt:Body fld:Qn:Probe.amp.tar","Herpes simplex virus 2 DNA [#/volume] (viral load) in Body fluid by NAA with probe detection"
"Histoplasma capsulatum antigen, Blood","44525-4","Histoplasma capsulatum Ag:PrThr:Pt:Ser:Ord:IA","Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay"
"DNA double strand antibody, Blood","34187-5","DNA double strand Ab:Titr:Pt:Ser:SemiQn:Crithidia luciliae IF","DNA double strand Ab [Titer] in Serum by Immunofluorescence (IF) Crithidia luciliae"
"HIV 1 proviral, Blood","44871-2","HIV 1 proviral DNA:PrThr:Pt:Bld:Ord:Probe.amp.tar","HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection"
"1p and 19q chromosome deletion analysis, Fixed Tissue","42634-6","1p & 19q chromosome deletion:Arb:Pt:Tiss fixed:Ord:Molgen","1p and 19q chromosome deletion [Presence] in Fixed tissue by Molecular genetics method"
"Ganglioside IgG antibody, Blood","51701-1","Ganglioside Ab.IgG:PrThr:Pt:Ser:Ord:IB","Ganglioside IgG Ab [Presence] in Serum by Immunoblot"
"NMDAR IgG antibody, Spinal fluid","80220-7","N-methyl-D-aspartate receptor Ab.IgG:Titr:Pt:CSF:SemiQn:IF","NMDAR IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence"
"Hepatitis C virus (HCV) genotype, Blood","32286-7","Hepatitis C virus genotype:Prid:Pt:Ser/Plas:Nom:Probe.amp.tar","Hepatitis C virus genotype [Identifier] in Serum or Plasma by NAA with probe detection"
"t(15;17)(q24.1;q21.1)(PML,RARA) Bcr1 fusion transcript analysis, Blood or tissue specimen","60589-9","t(15;17)(q24.1;q21.1)(PML,RARA) bcr1 fusion transcript:Arb:Pt:Bld/Tiss:Ord:Molgen","t(15;17)(q24.1;q21.1)(PML,RARA) bcr1 fusion transcript [Presence] in Blood or Tissue by Molecular genetics method"
"Herpes simplex virus 1 (HSV 1), Body fluid","49986-3","Herpes simplex virus 1 DNA:NCnc:Pt:Body fld:Qn:Probe.amp.tar","Herpes simplex virus 1 DNA [#/volume] (viral load) in Body fluid by NAA with probe detection"
"Neutrophil cytoplasmic antibody, Blood","51924-9","Neutrophil cytoplasmic Ab:Titr:Pt:Ser:SemiQn:IF","Neutrophil cytoplasmic Ab [Titer] in Serum by Immunofluorescence"
"Mycobacterium sp, Tissue","23247-0","Mycobacterium sp DNA:PrThr:Pt:Tiss:Ord:Probe.amp.tar","Mycobacterium sp DNA [Presence] in Tissue by NAA with probe detection"
"Cytomegalovirus (CMV), Blood","29604-6","Cytomegalovirus DNA:NCnc:Pt:Bld:Qn:Probe.amp.tar","Cytomegalovirus DNA [#/volume] (viral load) in Blood by NAA with probe detection"
"Herpes simplex virus 2 (HSV 2), Spinal fluid","16960-7","Herpes simplex virus 2 DNA:PrThr:Pt:CSF:Ord:Probe.amp.tar","Herpes simplex virus 2 DNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
"Hepatitis B virus (HBV), Blood","42595-9","Hepatitis B virus DNA:ACnc:Pt:Ser/Plas:Qn:Probe.amp.tar","Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection"
"HDV antibody, Blood","5200-1","Hepatitis D virus Ab:ACnc:Pt:Ser:Qn:IA","Hepatitis D virus Ab [Units/volume] in Serum by Immunoassay"
"Coagulation Factor VII Activated, Blood","3197-1","Coagulation factor VII activated activity:ACnc:Pt:PPP:Qn:Coag","Coagulation factor VII activated [Units/volume] in Platelet poor plasma by Coagulation assay"
"Beta 2 glycoprotein 1 IgA antibody, Blood","44447-1","Beta 2 glycoprotein 1 Ab.IgA:ACnc:Pt:Ser/Plas:Qn:IA","Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum or Plasma by Immunoassay"
"Legionella sp, Specimen","49616-6","Legionella sp DNA:Prid:Pt:XXX:Nom:Probe.amp.tar","Legionella sp DNA [Identifier] in Specimen by NAA with probe detection"
"Parvovirus B19, Bone marrow","50347-4","Parvovirus B19 DNA:PrThr:Pt:Bone mar:Ord:Probe.amp.tar","Parvovirus B19 DNA [Presence] in Bone marrow by NAA with probe detection"
"Complement C3a, Blood","4488-3","Complement C3a:MCnc:Pt:Ser/Plas:Qn","Complement C3a [Mass/volume] in Serum or Plasma"
