Identifier	Supplier Name	Country
1747911000189105	Sunfine Healthcare Private Limited		
2031401000189107	Egbert Pharma Private Limited		
2476751000189102	Bioceuticals Inc		
1018751000189104	Octavius Pharma Private Limited		
1930311000189102	Optiva Pharma Private Limited		
1018841000189106	Renova Healthcare		
2563401000189102	Medensmed Healthcare Private Limited		
2476791000189107	Matrix Pharma-Chem (India) Private Limited		
2737021000189100	Curative Pharmaceuticals Private Limited		
2276011000189104	Lifeline Remedies India		
2563411000189100	Avosia Pharma Private Limited		
1874171000189107	Nephurocare Pharma Private Limited		
2411091000189108	Pinakafx Biotech Llp		
1649491000189107	Osvel Pharma		
1249211000189103	Serve Health Care Private Limited		
2276101000189100	Darius- Healers Bioscience		
2411101000189103	Impulse Pharma Private Limited		
1019091000189103	Maestro Healthcare Limited	India	
1019101000189108	Spencure Biotech Private Limited		
2476861000189105	Vnox Pharmaceuticals Private Limited		
2031441000189105	World Healthcare		
1019141000189106	A.S.V. Laboratories (India) Private Limited		
2136881000189101	Bionovics Pharmaceuticals Private Limited		
1019161000189107	Dr. Morepen Limited		
2650191000189106	Eswar Therapeutics Private Limited		
1249231000189108	D.S. Laboratories		
1747941000189106	Gaurja Bioremedies		
1776881000189106	Safecon Lifesciences Private Limited		
2136891000189104	Martin & Brown Biosciences		
2136901000189103	Xenovia Healthcare Private Limited		
1709991000189103	Western Remedies		
1019361000189109	Renvic Life Sciences Private Limited		
2031461000189106	Griffin Biogenesis Private Limited		
1474441000189102	Bennet Mypher Pharmaceuticals LLP		
1019491000189107	Javeline Pharmaceuticals		
1567671000189101	Sanmai Pharma		
1019571000189109	Health Biomed Pharma	India	
2650241000189106	Nucleosomecare Pharma Llp		
2650251000189109	Biohexa Life Sciences		
2094211000189101	Aaphia Healthcare		
2066731000189107	Novashine Pharmaceuticals		
2476951000189100	Nitos Pharmaceutical Private Limited		
2411181000189105	Universal Biogenics		
2411191000189107	Daniyal Pharma Private Limited		
1019671000189105	The World Wide Pharma		
2136911000189101	Curelogic Pharmaceuticals Private Limited		
2867171000189108	Adorazen Pharma		
1019691000189109	Aadi Healthcare Private Limited		
1019741000189107	Abigail Care Pharma		
1019751000189105	Albion Lifecare Private Limited		
1474471000189105	Pasco Pharmaceuticals		
1019811000189104	Chemo India		
1378561000189103	Ivaan Pharmaceuticals		
1710031000189105	Aristek Pharma Private Limited		
2136921000189109	Fab Critical Care		
2136931000189106	Toss-Up Pharmaceuticals Private Limited		
1474481000189107	Grecian Private Limited	India	
